,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,depend
691,692,0.0,40.0,4.0,1.5,4.0,0.5,6.0,10.0,202.9,25.7,20.2,1.0,54.0,51.4,1.0,1.0,1.2,2.0,173.1,19.6,11.5,12.0,3.5,0.0,1.0,0.87,1.0,1.0,0.0,0.7,0.5,0.5,1.0,57.0,2.0,51.7,1.0,2.0,0.94,0.99,0
692,693,0.0,59.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.3,0.0,5.0,2.3,13.0,471.0,15.6,9.6,21.0,1.3,0.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28,0.0,2.0,2.0,3.1,0.0,0.5,0.5,1.0,0
693,694,0.0,45.0,3.0,2.0,2.0,0.0,0.0,9.0,22.8,4.0,2.5,0.0,4.0,1.1,1.0,0.0,1.2,3.0,132.5,9.2,3.5,30.0,3.3,0.465,0.0,0.2,1.0,0.17,0.0,0.22,0.11,0.33,0.0,4.0,1.0,1.45,0.0,0.0,1.0,1.0,0
694,695,1.0,61.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.2,0.0,0.0,6.4,130.0,4852.8,16.8,12.3,61.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13,1.0,109.0,3.0,62.2,1.0,2.0,0.2,0.29,0
695,696,0.0,35.0,4.0,1.0,4.0,1.0,0.0,14.0,258.3,15.3,18.4,1.0,10.0,6.5,1.0,7.0,2.3,12.0,511.4,8.8,8.6,25.0,2.3,0.08,0.0,0.41,1.0,0.5,0.0,0.35,0.5,0.0,1.0,10.0,1.0,6.5,0.0,0.0,1.0,1.0,0
696,697,1.0,69.5,2.0,0.0,3.0,1.0,0.0,9.0,156.8,34.0,17.4,0.0,3.0,1.3,0.0,0.0,1.6,12.0,450.0,11.0,6.5,48.0,1.1,0.83,0.0,0.35,0.75,0.34,0.11,0.77,0.55,0.305,0.0,3.0,1.0,1.3,0.5,1.0,1.0,1.0,0
697,698,0.0,43.5,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.65,0.0,3.0,2.0,13.0,820.8,17.2,9.3,42.0,3.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.075,0.0,8.0,1.0,1.7,1.0,2.0,1.0,1.0,0
698,699,0.0,47.0,3.5,2.0,1.0,0.0,0.5,2.0,9.4,16.0,4.7,0.0,3.0,0.1,0.0,14.0,1.6,24.0,1110.2,9.7,4.8,141.0,3.6,0.2,0.0,0.01,0.08,0.0,0.5,0.0,0.5,0.38,0.5,139.0,8.0,41.0,0.5,0.0,0.02,0.0,0
699,700,1.0,28.0,2.0,1.0,1.0,0.0,0.0,6.0,26.5,8.8,4.4,0.0,12.0,3.1,1.0,2.0,1.2,6.0,173.6,12.1,3.5,38.0,1.8,0.66,0.0,0.08,1.0,0.15,0.0,0.66,0.33,0.535,0.0,12.0,1.0,3.1,0.0,1.0,1.0,1.0,0
700,701,0.0,56.0,4.0,1.0,2.0,0.0,1.0,4.0,30.7,12.7,7.6,0.0,1.0,0.3,0.0,0.0,0.8,1.0,114.4,9.8,5.6,6.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,21.9,0.0,0.0,0.03,0.01,0
701,702,0.0,47.0,3.0,1.0,1.0,0.0,0.0,3.5,9.4,16.0,4.7,0.5,69.0,13.1,0.0,14.0,1.6,24.0,1110.2,9.7,4.8,141.0,3.6,0.2,0.0,0.01,0.08,0.0,0.5,0.5,0.5,0.38,1.0,205.0,8.0,54.0,1.0,0.0,0.33,0.24,0
702,703,0.0,40.0,4.0,2.0,4.0,1.0,6.0,10.0,202.9,25.7,20.2,1.0,100.5,111.0,1.0,1.0,1.2,2.0,173.1,19.6,11.5,12.0,3.5,0.0,1.0,0.87,1.0,1.0,0.0,0.7,0.5,0.75,1.0,154.0,9.0,129.5,1.0,2.0,0.85,0.85,0
703,704,1.0,58.0,4.0,1.0,2.0,0.0,1.0,3.0,26.2,11.0,8.7,1.0,22.0,17.35,0.0,18.0,1.9,38.0,1244.0,8.4,4.7,134.0,2.5,0.28,0.05,0.01,0.07,0.02,0.0,0.66,0.33,0.3,1.0,22.0,1.0,11.0,0.0,1.0,1.0,1.0,0
